"set"	"subject"	"subject_set"	"session"	"list"	"group"	"age"	"sex"	"hand"	"assist"	"trial"	"file"	"stimulus"	"is_target"	"is_word"	"targettype"	"red"	"is_schwa"	"duration"	"rt"	"rt_end"	"response"	"correctness"	"log_rt"	"preceding_rt"	"log_preceding_rt"	"voctest_correctness"	"jaar"	"spreken"	"luisteren"	"lezen"	"schrijven"	"av_prof"	"lextale.scores"	"p_universally"	"p_french"	"p_dutch"	"r"
"t24"	32	"32 t24"	1	"D2"	"2"	18	"male"	"right"	"Other"	166	"t24_2_p1_2_mono.wav"	"le f'san"	"yes"	"yes"	"match"	"r"	"yes"	573	1423	850	5	"yes"	7.26052259808985	4581	8.42967259388674	"correct"	3	1	1	1	1	1	-4	"I"	"I"	"I"	"no"
"t24"	16	"16 t24"	1	"D2"	"2"	19	"female"	"right"	"Other"	166	"t24_2_p1_2_mono.wav"	"le f'san"	"yes"	"yes"	"match"	"r"	"yes"	573	1111	538	5	"yes"	7.01301578963963	1775	7.48155570190952	"correct"	5	1	2	1	1	1.25	1	"I"	"I"	"I"	"no"
"t24"	12	"12 t24"	1	"C2"	"2"	20	"female"	"right"	"Ferdy"	161	"t24_1_p2_2_mono.wav"	"le faisan"	"yes"	"yes"	"mismatch"	"u"	"yes"	686	975	289	5	"yes"	6.88243747099785	1169	7.06390396147207	"correct"	2	2	2	1	1	1.5	-9	"I"	"I"	"I"	"no"
"t24"	34	"34 t24"	1	"C1"	"2"	18	"female"	"right"	"Ilse"	161	"t24_2_p1_2_mono.wav"	"le f'san"	"yes"	"yes"	"match"	"r"	"yes"	573	1230	657	5	"yes"	7.11476944836646	1348	7.20637729147225	"correct"	3	2	3	3	4	3	-5	"I"	"I"	"I"	"no"
"t24"	30	"30 t24"	1	"D1"	"2"	18	"female"	"right"	"Nadia"	166	"t24_1_p2_2_mono.wav"	"le faisan"	"yes"	"yes"	"mismatch"	"u"	"yes"	686	1753	1067	5	"yes"	7.46908388492123	1433	7.26752542782817	"correct"	3	1	2	2	1	1.5	1	"I"	"I"	"I"	"no"
"t24"	35	"35 t24"	1	"C2"	"1"	20	"male"	"left"	"Other"	161	"t24_1_p2_2_mono.wav"	"le faisan"	"yes"	"yes"	"match"	"u"	"yes"	686	1025	339	1	"yes"	6.93244789157251	1193	7.08422642209792	"correct"	3	2	2	2	1	1.75	4	"I"	"I"	"I"	"no"
"t24"	46	"46 t24"	1	"A2"	"2"	22	"female"	"right"	"Ilse"	61	"t24_2_p1_2_mono.wav"	"le f'san"	"yes"	"yes"	"match"	"r"	"yes"	573	1363	790	5	"yes"	7.21744343169653	4813	8.47907586930311	"correct"	3	2	2	3	2	2.25	-2	"I"	"I"	"I"	"no"
"t24"	23	"23 t24"	1	"B2"	"1"	23	"female"	"right"	"Ferdy"	43	"t24_1_p2_2_mono.wav"	"le faisan"	"yes"	"yes"	"match"	"u"	"yes"	686	1142	456	5	"yes"	7.04053639021596	1052	6.95844839329766	"correct"	3	3	2	2	1	2	NA	"I"	"I"	"I"	"no"
"t24"	15	"15 t24"	1	"D1"	"1"	20	"female"	"right"	"Other"	166	"t24_1_p2_2_mono.wav"	"le faisan"	"yes"	"yes"	"match"	"u"	"yes"	686	1625	939	5	"yes"	7.39326309476384	1685	7.42952084278646	"correct"	6	4	3	3	3	3.25	-4	"I"	"I"	"I"	"no"
"t24"	11	"11 t24"	1	"C2"	"1"	20	"female"	"right"	"Other"	161	"t24_1_p2_2_mono.wav"	"le faisan"	"yes"	"yes"	"match"	"u"	"yes"	686	1198	512	5	"yes"	7.08840877867539	1132	7.03174125876313	"correct"	3	1	2	2	1	1.5	7	"I"	"I"	"I"	"no"
"t24"	43	"43 t24"	1	"A1"	"1"	18	"male"	"right"	"Ilse"	61	"t24_1_p2_2_mono.wav"	"le faisan"	"yes"	"yes"	"match"	"u"	"yes"	686	1018	332	5	"yes"	6.92559519711047	1453	7.28138566357028	"correct"	3	3	1	5	2	2.75	11	"I"	"I"	"I"	"no"
"t24"	7	"7 t24"	1	"B2"	"1"	19	"female"	"right"	"Other"	43	"t24_1_p2_2_mono.wav"	"le faisan"	"yes"	"yes"	"match"	"u"	"yes"	686	1330	644	5	"yes"	7.1929342212158	1538	7.33823815006559	"correct"	3	1	1	1	1	1	-6	"I"	"I"	"I"	"no"
"t24"	49	"49 t24"	1	"B2"	"1"	19	"female"	"left"	"Other"	43	"t24_1_p2_2_mono.wav"	"le faisan"	"yes"	"yes"	"match"	"u"	"yes"	686	1261	575	1	"yes"	7.13966033596492	1674	7.42297125104942	"correct"	3	1	1	2	2	1.5	-2	"I"	"I"	"I"	"no"
"t24"	21	"21 t24"	1	"B1"	"1"	18	"female"	"right"	"Other"	43	"t24_2_p1_2_mono.wav"	"le f'san"	"yes"	"yes"	"mismatch"	"r"	"yes"	573	1236	663	5	"yes"	7.11963563801764	1167	7.06219163228656	"correct"	3	2	1	2	2	1.75	-5	"I"	"I"	"I"	"no"
"t24"	29	"29 t24"	1	"D1"	"1"	24	"female"	"right"	"Nadia"	166	"t24_1_p2_2_mono.wav"	"le faisan"	"yes"	"yes"	"match"	"u"	"yes"	686	1199	513	5	"yes"	7.08924315502751	2095	7.64730883235624	"correct"	6	2	3	4	2	2.75	-9	"I"	"I"	"I"	"no"
"t24"	25	"25 t24"	1	"C1"	"1"	18	"female"	"right"	"Ferdy"	161	"t24_2_p1_2_mono.wav"	"le f'san"	"yes"	"yes"	"mismatch"	"r"	"yes"	573	1662	1089	5	"yes"	7.41577697541539	1839	7.51697722460432	"correct"	6	4	4	4	3	3.75	-15	"I"	"I"	"I"	"no"
"t24"	17	"17 t24"	1	"A1"	"1"	18	"male"	"right"	"Other"	61	"t24_1_p2_2_mono.wav"	"le faisan"	"yes"	"yes"	"match"	"u"	"yes"	686	1486	800	5	"yes"	7.3038432252777	6282	8.74544368009859	"correct"	3	2	1	2	2	1.75	-5	"I"	"I"	"I"	"no"
"t24"	14	"14 t24"	1	"D1"	"2"	19	"female"	"right"	"Other"	166	"t24_1_p2_2_mono.wav"	"le faisan"	"yes"	"yes"	"mismatch"	"u"	"yes"	686	1513	827	5	"yes"	7.32184971378836	1371	7.22329567956231	"correct"	3	2	1	2	2	1.75	1	"I"	"I"	"I"	"no"
"t24"	51	"51 t24"	1	"B1"	"2"	18	"female"	"right"	"Nadia"	43	"t24_2_p1_2_mono.wav"	"le f'san"	"yes"	"yes"	"match"	"r"	"yes"	573	1146	573	5	"yes"	7.04403289727469	1202	7.09174211509515	"correct"	6	4	4	4	4	4	-7	"I"	"I"	"I"	"no"
